"lastname",frequency
"Nyrén",737
"Nystedt",737
"Nyström",13757
"Näslund",5239
"Näsman",959
"Näsström",1434
"Ohlsson",4614
"Olander",1945
"Olausson",6526
"Olin",1696
"Olofsson",27769
"Olovsson",1879
"Olsen",1182
"Olsén",1183
"Olsson",152601
"Oscarsson",1237
"Oskarsson",5923
"Ottosson",7795
"Palmér",1198
"Palmgren",2222
"Palmqvist",3295
"Palm",7361
"Paulsson",5346
"Pedersen",2077
"Pehrsson",886
"Persson",146531
"Petersen",932
"Peterson",1528
"Petersson",43062
"Pettersson",94548
"Pihl",1947
"Pålsson",6973
"Qvarnström",834
"Qvist",1293
"Ragnarsson",1333
"Rahm",1098
"Ramberg",882
"Ramström",920
"Rapp",1228
"Rask",1838
"Rasmussen",903
"Rasmusson",2256
"Rehn",1711
"Reinholdsson",835
"Renberg",870
"Renström",1465
"Rickardsson",815
"Ringdahl",692
"Ringström",1269
"Ring",1949
"Risberg",1624
"Robertsson",2138
"Rodin",690
"Roos",5055
"Rosander",1245
"Rosberg",1378
"Rosell",1385
"Rosenberg",1594
"Rosendahl",1010
"Rosengren",3056
"Rosenkvist",686
"Rosenqvist",2157
"Rosén",6520
"Roslund",1137
"Rosvall",1087
"Ros",712
"Roth",1858
"Rundberg",936
"Rundgren",818
"Rundqvist",1633
"Rutgersson",721
"Ryberg",1568
"Rydberg",3358
"Rydell",1376
"Rydén",3099
"Rydström",938
"Ryd",774
"Rylander",1689
"Rönnberg",1135
"Rönnbäck",834
"Rönnqvist",1117
"Rönn",905
"Sahlberg",987
"Sahlén",975
"Sahlin",3009
"Sahlström",986
"Salomonsson",3549
"Samuelsson",15784
"Sandahl",1121
"Sandberg",18004
"Sandell",2489
"Sandén",1268
"Sander",766
"Sandgren",2784
"Sandin",3134
"Sandqvist",1688
"Sandström",10362
"Sand",1356
"Schmidt",1418
"Schröder",841
"Schultz",1106
"Schön",1163
"Seger",755
"Selander",1486
"Selberg",702
"Selin",1681
"Sigfridsson",780
"Simonsson",3935
"Sjunnesson",725
"Sjöberg",16341
"Sjöblom",3362
"Sjödahl",791
"Sjödin",5314
"Sjögren",10153
"Sjöholm",3298
"Sjökvist",1472
"Sjölander",2131
"Sjölin",2386
"Sjölund",2690
"Sjöqvist",1749
"Sjöstedt",2520
"Sjösten",771
"Sjöstrand",3089
"Sjöström",7357
"Sjöö",1020
"Skoglund",6842
"Skog",4111
"Skoog",1953
"Sköld",4863
"Smedberg",1290
"Smith",970
"Sonesson",1285
"Spångberg",1269
"Staaf",747
"Stark",1998
"Steen",1420
"Stefansson",695
"Stenberg",6272
"Stenlund",1941
"Stenman",1346
"Stenmark",1229
"Stenqvist",889
"Stensson",1161
"Stenström",2017
"Stenvall",817
"Sten",1889
"Sterner",1578
"Stolpe",892
"Stoltz",856
"Stolt",1092
"Storm",1677
"Strandberg",6540
"Strand",6378
"Stridh",690
"Strid",3461
"Strömberg",9054
"Strömbäck",1011
"Strömgren",913
"Strömqvist",929
"Ström",11318
"Sturesson",881
"Ståhl",4754
"Stålberg",1123
"Stålnacke",808
"Stål",1234
"Sundberg",10595
"Sundelin",785
"Sundell",2141
"Sundén",1097
"Sundgren",1387
"Sundin",5589
"Sundkvist",1978
"Sundman",1048
"Sundquist",938
"Sundqvist",5671
"Sundström",8731
"Sundvall",1027
"Sund",1566
"Sunesson",792
"Svahn",2761
"Svanberg",2802
"Svanström",1722
"Svantesson",2762
"Svan",965
"Svedberg",3354
"Svedin",1121
"Svedlund",1110
"Svenningsson",781
"Svensk",875
"Svensson",146419
"Svärd",4868
"Säfström",1020
"Söll",1144
"Söderberg",12901
"Söderblom",1042
"Södergren",2448
"Söderholm",2552
"Söderkvist",925
"Söderlind",1583
"Söderlund",7269
"Söderman",2231
"Söderqvist",2700
"Söderström",8860
"Söder",1750
"Sörensen",1142
"Sörensson",1198
"Sörman",693
"Tapper",1239
"Tell",1222
"Thelander",954
"Thelin",1346
"Thomasson",1205
"Thorell",1179
"Thorén",2727
"Thorsell",1100
"Thorsson",1159
"Thor",1546
"Thulin",2243
"Thunberg",1676
"Thuresson",1007
"Thörn",926
"Tillberg",797
"Tillman",809
"Tjernström",744
"Tornberg",832
"Torstensson",3451
"Trulsson",818
"Trygg",1090
"Tufvesson",726
"Turesson",2141
"Tuvesson",707
"Törnberg",803
"Törnblom",1628
"Törngren",896
"Törnkvist",1370
"Törnqvist",4418
"Ulander",751
"Vahlberg",952
"Valfridsson",846
"Vallgren",894
"Vallin",3518
"Vall",977
"Van",769
"Vedin",1494
"Velander",808
"Vennberg",931
"Vernersson",944
"Vestberg",2018
"Vesterberg",1972
"Vestergren",705
"Vesterlund",3496
"Vestin",3154
"Vestling",970
"Vestlund",2034
"Vestman",2555
"Viberg",3311
"Vidén",901
"Vigren",797
"Vikberg",1081
"Viklund",7284
"Vikman",1383
"Vikström",7121
"Viktorsson",1739
"Vik",796
"Vilhelmsson",3627
"Vinberg",769
"Von",5570
"Wahlberg",2722
"Wahlgren",1872
"Wahlqvist",950
"Wahlström",4160
"Wallberg",1383
"Wallén",1677
"Wallgren",1617
"Wallin",11048
"Wallman",800
"Wallström",1322
"Wall",2290
"Wedin",960
"Welander",785
"Welin",839
"Wendel",939
"Wennberg",1987
"Wennerberg",809
"Wennerström",787
"Wennström",731
"Werner",1924
"Wessman",917
"Westberg",2691
"Westerberg",3535
"Westergren",1374
"Westerlund",3465
"Wester",1870
"Westin",2546
"Westling",1285
"Westlund",1836
"Westman",3108
"Wiberg",3166
"Wickman",762
"Wickström",983
"Widell",1144
"Widén",2065
"Widlund",753
"Wihlborg",865
"Wiklund",3589
"Wikman",957
"Wikström",5266
"Wik",1364
"Wilhelmsson",1500
"Wiman",949
"Winberg",1449
"Wirén",752
"Zachrisson",1102
"Zackrisson",1020
"Zakrisson",1573
"Zander",797
"Zetterberg",2073
"Zetterlund",1247
"Zetterström",1679
"Åberg",9950
"Ågren",5112
"Åhlander",741
