code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
1460,Bengtsfors kommun,Västra Götalands län,9940,1059.18,882.98,176.20,0.00,11.26,59.048552,12.2483019,59.013731,12.1865241,59.028612,12.226943
1461,Melleruds kommun,Västra Götalands län,9323,944.46,513.74,47.62,0.00,18.15,58.7044745,12.4684864,58.6928805,12.4364716,58.698678,12.452479
1462,Lilla Edets kommun,Västra Götalands län,13728,341.79,315.64,26.15,0.00,43.49,58.147245,12.1483892,58.117071,12.1001771,58.132158,12.1241336
1463,Marks kommun,Västra Götalands län,34218,1013.20,929.20,84.00,0.00,36.83,57.633062,12.9576719,57.2652921,12.250487,57.4253176,12.5695216
1465,Svenljunga kommun,Västra Götalands län,10679,987.14,919.68,67.46,0.00,11.61,57.510678,13.1321549,57.481103,13.0833219,57.4955715,13.1146225
1466,Herrljunga kommun,Västra Götalands län,9486,509.52,497.48,12.04,0.00,19.07,58.07841678,13.02814618,58.07571882,13.02544822,58.0770678,13.0267972
1470,Vara kommun,Västra Götalands län,15788,700.65,696.93,3.72,0.00,22.65,58.2714361,12.978812,58.2537559,12.9375729,58.261781,12.960194
1471,Götene kommun,Västra Götalands län,13275,620.71,404.51,0.93,0.00,32.82,58.536836,13.5187669,58.5116459,13.4436919,58.528002,13.491428
1472,Tibro kommun,Västra Götalands län,11070,235.20,219.80,15.40,0.00,50.36,58.4320959,14.1968279,58.4011629,14.119229,58.424323,14.1616418
1473,Töreboda kommun,Västra Götalands län,9435,591.14,540.69,50.45,0.00,17.45,58.7220369,14.1545551,58.6909401,14.1088791,58.7055092,14.1261468
1480,Göteborgs kommun,Västra Götalands län,556640,1024.04,447.88,14.21,563.28,1242.83,57.6526376,11.9454514,57.6406954,11.9134366,57.646667,11.929444
1481,Mölndals kommun,Västra Götalands län,64465,152.28,145.84,6.44,0.00,442.03,57.6914934,12.0066848,57.6764804,11.9913829,57.6841241,11.999811
1482,Kungälvs kommun,Västra Götalands län,43289,682.57,362.45,8.38,311.60,119.43,58.2784766,12.2716042,58.2719738,12.2495703,58.2772609,12.2596732
1484,Lysekils kommun,Västra Götalands län,14570,695.42,208.45,0.85,486.11,69.90,58.2919169,11.4768472,58.2673945,11.4183488,58.275573,11.435558
1485,Uddevalla kommun,Västra Götalands län,55164,733.05,637.66,12.65,82.72,86.51,58.382303,12.0143339,58.322688,11.865948,58.3498003,11.935649
1486,Strömstads kommun,Västra Götalands län,13079,951.84,467.47,10.13,474.24,27.98,58.3537104,11.9327617,58.3519013,11.9160773,58.3527396,11.9242665
1487,Vänersborgs kommun,Västra Götalands län,38955,898.83,642.60,23.02,0.00,60.62,58.3319379,12.2936179,58.2867996,12.2665924,58.3117155,12.2918706
1488,Trollhättans kommun,Västra Götalands län,57753,427.71,409.86,17.85,0.00,140.91,58.332091,12.3647059,58.244792,12.2400791,58.2834894,12.2858206
1489,Alingsås kommun,Västra Götalands län,40045,551.16,472.00,79.16,0.00,84.84,58.0869811,12.817512,57.7928401,12.3760749,57.9799652,12.5557707
1490,Borås kommun,Västra Götalands län,109880,967.53,909.88,57.65,0.00,120.76,57.5121391,13.1120116,57.496565,13.1079961,57.5044942,13.1104746
1491,Ulricehamns kommun,Västra Götalands län,23887,1116.89,1046.03,70.86,0.00,22.84,59.2620341,14.7148173,57.14008,10.9631866,58.2527926,13.0596425
1492,Åmåls kommun,Västra Götalands län,12801,889.72,481.11,52.39,0.00,26.61,59.0759221,12.723915,59.027336,12.6741189,59.051117,12.6977323
1493,Mariestads kommun,Västra Götalands län,24215,1503.24,602.47,10.93,0.00,40.19,58.71113968,13.82310508,58.70844172,13.82040712,58.7097907,13.8217561
1494,Lidköpings kommun,Västra Götalands län,39235,1372.60,698.63,2.68,0.00,56.16,58.546194,13.2126519,58.474168,13.0831159,58.5035047,13.1570768
1495,Skara kommun,Västra Götalands län,18979,448.69,428.62,20.07,0.00,44.28,58.38867228,13.44141018,58.38597432,13.43871222,58.3873233,13.4400612
1496,Skövde kommun,Västra Götalands län,54133,685.08,673.68,11.40,0.00,80.35,58.437518,13.9103311,58.3630159,13.8094438,58.3902782,13.8461208
1497,Hjo kommun,Västra Götalands län,9048,584.47,297.04,5.09,0.00,30.46,58.3985911,13.9252947,58.3952239,13.8815525,58.3984771,13.9030062
1498,Tidaholms kommun,Västra Götalands län,12797,522.94,517.98,4.96,0.00,24.71,57.9245226,13.8825699,57.9135853,13.8716609,57.9191645,13.8777292
1499,Falköpings kommun,Västra Götalands län,32806,1065.77,1044.88,20.89,0.00,31.40,58.19667,13.5928939,58.144402,13.512542,58.175029,13.553217
1715,Kils kommun,Värmlands län,11800,406.87,359.72,47.15,0.00,32.80,59.50469948,13.31892088,59.50200152,13.31622292,59.5033505,13.3175719
1730,Eda kommun,Värmlands län,8526,894.93,820.18,74.75,0.00,10.40,59.8386627,12.3326744,59.8274484,12.3006596,59.833056,12.316667
1737,Torsby kommun,Värmlands län,12169,4357.42,4162.21,195.21,0.00,2.92,60.656962,13.4708468,60.0140351,12.460801,60.1835706,12.9319421
1760,Storfors kommun,Värmlands län,4046,472.71,391.68,81.03,0.00,10.33,59.5510509,14.2936792,59.523902,14.2566111,59.5332079,14.2722085
1761,Hammarö kommun,Värmlands län,15725,464.15,59.44,0.90,0.00,264.55,59.3659339,13.7039031,59.250805,13.4123701,59.289306,13.5177132
1762,Munkfors kommun,Värmlands län,3738,147.97,141.58,6.39,0.00,26.40,59.3834583,13.5185957,59.382169,13.5161688,59.3827781,13.5176245
1763,Forshaga kommun,Värmlands län,11451,397.29,348.16,49.13,0.00,32.89,59.52880328,13.49059838,59.52610532,13.48790042,59.5274543,13.4892494
1764,Grums kommun,Värmlands län,9063,478.81,386.36,47.87,0.00,23.46,59.3724261,13.1308061,59.312291,13.0818034,59.3531787,13.1117319
1765,Årjängs kommun,Värmlands län,9958,1653.04,1409.44,243.60,0.00,7.07,59.402859,12.1648531,59.3672679,12.103345,59.3891592,12.132717
1766,Sunne kommun,Värmlands län,13425,1448.25,1288.02,160.23,0.00,10.42,59.8543009,13.1638959,59.8222724,13.12341,59.8365575,13.1440464
1780,Karlstads kommun,Värmlands län,90198,1517.74,1168.66,73.89,0.00,77.18,59.38076088,13.49693258,59.37806292,13.49423462,59.3794119,13.4955836
1781,Kristinehamns kommun,Värmlands län,24671,1384.43,755.20,40.66,0.00,32.67,59.554862,14.3613209,59.002242,13.7777539,59.2314721,14.1604548
1782,Filipstads kommun,Värmlands län,10960,1711.71,1534.04,177.67,0.00,7.14,59.731068,14.2008521,59.6874331,14.133836,59.7139973,14.1698445
1783,Hagfors kommun,Värmlands län,11917,2000.15,1824.19,175.96,0.00,6.53,60.03276268,13.70349078,60.03006472,13.70079282,60.0314137,13.7021418
1784,Arvika kommun,Värmlands län,26054,1956.13,1649.03,307.10,0.00,15.80,59.762078,12.7258871,59.5627009,12.162078,59.6424649,12.4570024
1785,Säffle kommun,Värmlands län,15633,2497.51,1220.88,97.37,0.00,12.80,59.285767,12.9374739,59.097339,12.4166587,59.1915076,12.7599042
1814,Lekebergs kommun,Örebro län,7636,481.67,463.16,18.51,0.00,16.49,59.341715,15.063121,59.046314,14.5226229,59.1653904,14.7434068
